PROP_ID,Feature_ID
E67760428,039
U70459182,006
X70972548,011
W70731044,035
T69990042,001
Q62482362,029
K69601962,034
V70497096,004
Q60357162,029
W69080476,021
P70944410,004
E70773454,034
P44401719,002
B70910086,039
D69794794,004
A70499506,021
L69343522,001
S66433142,034
N71745896,009
N70928318,006
Y71282668,003
J71621276,029
X71387258,009
Y70156862,021
E71255006,011
G63234538,003
T71718734,011
I69486876,011
O71599000,003
S70096990,006
N66441302,001
V70965412,001
S71205560,002
V70730504,039
P71612394,004
B70597916,006
T68476804,002
Q70926836,029
B71136084,006
R70785264,012
I69964468,002
T69175728,001
W71012506,039
F70212350,025
W70749872,012
P70660266,034
K71332806,009
L57832982,001
H69011226,001
N71338820,034
X71671892,035
O70547088,011
D69916542,001
F70751830,004
B71684602,004
A71094348,002
Q70620428,021
E70098768,035
R54740176,004
A70834424,002
W70077134,004
E71195854,034
R70699880,006
B70633846,002
Q69458832,029
X69806304,025
G70965030,001
V70591662,006
D68436194,003
D70786618,035
C71395196,029
O70426884,001
U70287228,011
U71007672,004
X71014564,004
G69458156,002
B70705590,001
J67560716,002
B70796974,009
X71415960,029
C68437020,012
V69683814,003
B70142544,025
M70524464,003
Y71290508,003
T70927512,012
L70803254,021
C71742552,035
C70281038,012
D70847412,035
A70838430,039
E69976788,039
O71290068,025
E71270186,004
J69245426,011
T68412880,029
B70879926,021
X71052826,001
B70280400,012
A70798536,006
B70193630,004
K70112394,006
F68254740,003
L64694692,001
M69984538,011
U67691838,004
P71603938,004
G69428122,006
I70339038,011
H70951702,009
B70459330,034
F70779300,006
P70726028,004
K70019162,002
N70232202,011
O70343920,025
B71003870,012
F62875618,029
L70379814,009
B71292800,034
G70527900,001
J70213574,034
P71118450,025
R69362932,009
X70208848,011
M70873132,003
B71176334,009
Q71555418,021
V70635872,009
M70647276,003
H70706346,025
E70638112,029
A70553062,021
E70723960,025
K69853852,003
Y70685060,012
E71292520,021
I70231432,001
Q70915412,003
A70283752,011
I69956680,021
L71004404,039
K70256106,035
P68278074,012
Y68476792,012
E71216002,011
K71624966,021
D71729144,001
M71587500,012
F69921692,002
O69330292,001
K71413520,039
L71551714,002
F70801024,001
L46714973,039
J70031240,003
P71095086,011
P71322904,006
W56184862,002
C71196604,039
T70623340,002
O70635684,039
B71007336,004
T70254976,003
C71221942,009
P70451120,025
D69645600,029
H71292970,006
W62617160,025
B70677494,001
Q69546562,011
O70846444,025
X70017038,006
S70315756,021
H69961326,025
U70906654,006
Q70844084,011
B70667260,004
I70691572,001
V68476712,006
L70877798,012
R71701822,029
G62964942,029
Q71381180,035
M70726850,012
J9558363,003
J71611544,021
C70984552,011
W71205282,004
W57425688,001
G70965030,012
R69937134,004
H60045370,029
A70728636,009
N70331470,039
I66307838,029
W70681956,034
G70271050,034
L70292992,009
B69048550,025
L71186222,001
D51126544,039
W71214054,025
T70994428,035
I70644656,003
S70279458,025
A70377080,034
O70405320,006
O70677524,021
O70977948,001
Y71534332,029
S70992256,012
M70841812,035
D70316524,003
H70739524,029
K67161316,011
Q71381642,021
I47080395,001
G71245690,009
M71010318,029
D68335432,011
U71198834,012
X70084118,006
C71221448,012
M71731616,035
C70846354,035
R69014766,002
U53612404,039
T69224052,001
J70487294,009
F71564590,035
F69970008,029
B70364850,003
R71314938,011
I70958984,006
X55463802,034
W69965216,003
X70110808,001
B68939290,012
E70425160,002
J60715894,039
J71740432,029
L70461866,039
X70879462,029
X71400838,034
W70734068,035
P71704958,034
I65916856,004
V69422836,006
I59953428,006
D70546124,004
A70742868,009
G71694540,002
Q68602716,021
U70786370,021
W61673144,009
M69321454,021
G70721514,002
N70265836,025
I34721521,002
T70680582,025
V68904214,009
L71031080,039
V70044454,025
S71133868,002
W70074808,001
K70430070,006
O68623126,029
Y70831572,011
Q71581108,034
O70857328,025
F70726436,011
B70698126,003
W70187492,034
E70505544,021
O70534192,039
B71355138,021
H70413710,001
R70140488,011
I68861054,002
W70868538,039
K71423188,009
A70110708,034
E69532914,006
L71626166,006
A69550372,029
C70929658,001
T57596444,039
K70837290,009
A71077966,011
I70096538,034
N71286500,001
P71360268,034
W70088648,034
E65907582,009
F69316080,034
C71015050,006
G68923864,029
G70874432,001
C71679730,006
B66915714,003
H70098720,039
D60218916,029
L68856160,039
C30598699,009
X70832116,021
S70062266,006
M70708574,021
L71098626,004
U70211848,021
A71417612,029
A68415964,029
N70694308,003
Z69548208,003
F46521413,029
Z71273216,021
S71103438,002
J70994194,012
V71699788,021
L71626166,011
K70382654,003
H70384566,025
E71124456,034
J71585750,009
M70862050,009
W71240650,004
Y71563658,035
M70647276,011
J70991368,001
N64064264,034
K71029180,006
G70483892,021
J70072386,021
H70440336,009
E71019440,009
N71364160,035
A69852264,001
O71196190,025
X70772194,003
N71549590,006
H57651884,025
W71591132,039
I71002540,012
S70548874,021
Z68832356,039
C70795268,021
H71062828,012
Y70701450,034
S70465272,029
T71062058,021
A71644970,034
C56243388,034
J70611086,009
C71028716,009
W67010456,012
B70180534,034
A70848942,039
F69332950,025
B68741994,021
A69935146,002
Y70541040,006
H70811346,029
Y71355148,009
Q67517694,001
F70457676,006
T70889972,035
Z71614934,025
D71255306,012
Y71602918,025
L70966036,021
W69778298,021
Z70990010,029
N70988478,011
Z69859102,001
F70450002,006
G70124766,012
Z71214294,029
R71463892,012
S69297958,025
U70677974,003
X69931062,011
M70192810,025
I71520980,011
P70611980,034
Y69714022,025
N66417776,035
M70499700,021
C68727472,009
U71635110,004
U70098472,034
E70312900,004
U69761252,012
S69469914,003
N70004538,009
Y70281656,012
V70831402,004
H69188192,034
H70781786,039
K71170896,004
D70640208,025
J70883498,021
N68391050,011
E71245268,021
I71505786,039
K71011528,012
J71402320,002
M70202570,001
L70346108,029
R70590978,001
H68138172,009
C70124092,034
S69999022,029
D70953308,039
W69474620,006
K70028534,003
C70545924,034
J71135812,029
U70253934,034
M67823148,004
W71526454,002
D70275914,039
V71438524,039
U70279908,001
J70429388,003
O71005404,011
Y70506262,009
A71076184,021
Y59570324,002
Z71594978,001
R71608722,001
V71560808,012
J70269610,035
V68852134,025
F69368970,025
H71339346,009
B70128462,034
Q69969918,011
A70830006,001
Z71594978,029
E71073240,001
P70842920,009
G70472432,006
D71013102,029
G69985206,035
Y70006484,001
G70509916,025
S70154986,006
G68849186,002
X70784502,012
Y70214950,006
E70965332,003
O70026348,039
W62731310,029
H70098720,002
O71423274,035
Y69565400,002
W71510162,029
K70433146,004
Q70253022,029
H69920532,003
Z70866248,021
M69664194,001
P70325948,025
B69919178,003
G70111902,003
R70406608,039
S70834060,012
N68363802,006
K70436018,029
Z70379462,029
I71641944,025
U70323056,039
U71027678,034
C70798676,025
J70683982,034
Z64668852,012
V69730040,004
N71040608,001
M71207008,035
E70252082,002
H70364732,009
C68888700,034
H70364732,011
D70995900,035
L70828150,009
E70209290,012
R70673748,012
N68796694,011
I69559332,006
P70613136,004
S45136553,039
G67789932,035
A70223520,021
L71660996,003
P70610590,004
V71563338,039
U70426700,034
S70685472,021
G71636814,025
F70590302,012
A71700234,012
W70528358,034
H70548020,003
M70848564,003
K70412708,035
T69326480,001
M70682520,006
K70851946,004
H70677720,039
J70846196,025
U71223602,009
S70405742,003
X71715132,006
Z68594046,029
E71635010,004
F70259536,039
O70316146,039
C70874542,035
A70260580,039
V58705132,009
S68909380,009
X70501980,001
U70408584,004
D70225750,003
J70542786,006
P70422408,034
I67956698,025
C70753442,003
V68360652,009
D71059654,029
T70610578,034
M65740204,029
K70165590,035
A69954700,001
J71688544,001
X71361848,004
C71777364,021
B69951548,009
X71674030,006
C70292578,001
K71234834,004
P70965868,009
U70965936,004
K71680186,011
K70849246,011
K71075808,012
B69848220,002
J71605048,034
V64401918,021
T70474282,002
N71717024,039
B71607356,035
G70720606,011
I69546738,034
A70913184,001
A70377080,001
N68957270,012
Z67235750,011
M70449696,011
B68731534,006
M70542490,021
R45143547,012
N70779356,011
S70750518,039
C70189356,035
D70825562,035
Y64330376,035
I71716576,039
X71426412,025
K71236504,002
T70182548,029
F70450286,034
Y71245728,029
K71328316,021
B71235676,002
V70852174,025
Q71338444,002
W70779476,011
Z68314950,009
P70866602,011
R69975726,025
I59271954,001
K70228026,001
S70595624,034
I70711256,025
L71554666,011
C70999024,012
G70832486,039
Z70995388,011
P71171398,009
Z48287723,012
F70407252,025
R69863360,006
A70819528,021
I70284750,035
X70987192,001
Y71351116,006
J71693284,034
H71003626,003
L70964130,025
J70996472,012
S70541838,003
J68255914,004
Z70601426,035
X69176424,009
P70949542,039
Z70884370,003
E42343021,025
T71051948,009
W71310468,011
B67730816,011
H69325506,011
D70486798,006
T71142590,004
Q70859144,029
M61842988,009
Z69307054,035
T69923626,002
P70387648,002
J70622272,009
Q71292322,039
W67182200,025
E71089980,004
T71079664,002
F68336478,006
M67739504,029
T70806030,002
F71802980,039
H69824916,003
H65716010,035
H70440336,034
N71138840,029
N70002664,035
L71477076,002
